Symbol,norm_vec_FSS,norm_vec_remod,norm_vec_OSS
POLG2,-0.01345933485127901,-0.05857757090614134,0.033163310784237975
MRPL19,-0.006492834944804726,-0.02070254687187657,0.033155550665413334
ZNF395,-0.04461705794704982,0.00699291348336512,0.03251953041980828
TBC1D9B,0.03404546435203469,0.0013407728748171127,0.03199223117581775
LYN,-0.030905479742497927,0.01344506709579046,0.03184828045087304
IER3,-0.025863476630098848,-0.07934716265767966,0.031667125831925214
LOXL1,-0.034791572966636035,0.011805241652178382,0.031650982312034844
AKR7A2,0.0007490410570869321,-0.02214658013320868,0.031634165186360995
PGM1,0.0008914887105755216,-0.01507407499573003,0.0315250161271539
NRAS,-0.02056441481981395,0.029301497558053148,0.03150901104394683
EML3,-0.002101340451980494,-0.01887987501123857,0.03144824136335639
MYBL2,0.0,0.03165738280558536,0.031361094606224986
